prediction;gold;sentence 
positive;positive;jetzt schon einer meiner lieblingsfilme ever!
positive;positive;der beiãÿende score tut sein ãœbriges und verleiht der spannung eine zusã¤tzliche wã¼rze.
positive;positive;so etwas mã¼sste man in heutigen blockbustern nocheinmal sehen.
negative;negative;meine kinder und ich waren enttã¤uscht.
negative;positive;in diesem fall bleibt jedenfalls ein ã¼beraus sehenswerter film, der auch nach dem ersten durchlauf nicht langweilig wird.
negative;negative;wa will der mann un also sagen?
positive;positive;letztlich also eine wã¼tende, mã¼hsam gestauchte chronik der ereignisse im zeitraffer, ein zã¼giges best-of der schlimmsten taten.
positive;positive;sucker punch ist ein groãÿartiger film.abgesehen von den wunderschã¶nen bildern und den sagenhaften aktionszenen,die man so bestimmt noch nicht gesehen hat (wo hat man schon mal einen drachen gesehen,der ein flugzeug verfolgt) , hat mich besonders der soundtrack ã¼berzeugt.ich habe noch nie solch ausgefallene stã¼cke in einem film gehã¶rt.neben bjã¶rk und einem coverstã¼ck der beatles sind noch etliche groãÿartige stã¼cke in diesem film al coverversionen aufgetaucht, die man in dieser form garantiert noch nicht gehã¶rt hat.wer kritisiert die story sei flach,der hat schlicht weg die groãÿartige aussage de film nicht verstanden.auch die al oft zu obszã¶n und zu perfide kritisierten szenen kann ich nicht nachvollziehen.natã¼rlich sind viele sachen al ã¼berspitzt und ã¼bertrieben dargestellt , aber gewiss nicht weil e an feingefã¼hl fehlt, sondern einzig und allein um die aussage zu verdeutlichen und der gesellschaft ihren spiegel vorzuhalten.und da ist auch gut so!
positive;positive;hoffe eure filmauswahl bei den preview bleibt weiterhin so gut!
negative;positive;"am anfang sehr lustig, nicht gerade anspruchsvoll und plã¶tzlich diese wende in dramatische... und am ende dann die ""pointe""!"
negative;positive;mein kompliment an die schauspieler, den regisseur und die drehbuchschreiber.
positive;positive;e gibt viele grã¼nde zu sagen, das dieser film ein wahres meisterwerk ist.
positive;positive;toller und witziger film...mit einem sehr unterhaltsamen soundtrack.
positive;positive;somit kein hollywood-film.
positive;positive;der film ist einfach sauspannend.
negative;positive;e ist ein wahrer hã¶llentripp auf leben und tod,dem die u-boot mannschaft der u-96 auf ihrer feindfahrt tã¤glich ausgesetzt ist kapitã¤nleutnant heinrich lehman, von seinen mã¤nnern respektvoll der alte genannt, und seine besatzung werden erbarmungslo von zerstã¶rern gejagt und flugzeugen bombardiert.das schicksal undder feind kennen kein erbarmen
positive;positive;die animationen sind perfekt und die charaktere gut ausgearbeitet.
positive;positive;"mit sicherheit ist, ""claudy with a chance of meatballs"" kein sonderlich anspruchsvolles entertainment, doch die effektreiche, intilligente buchverfilmung ist ein abnehmbares spektakel voller leben und freude an detail und hervorragenden ideen.zwar ist der film extrem albern und manchmal auch viel zu abgekupfert von den ideen her, aber dieser film macht einfach spaãÿ und ist sehr sehenswert fã¼r jeden animations-fan.ob spaghetti-tornado, steakregen oder eiffelturm-sandwich, action und unterhaltung sind immer drin und in real-d ist dieser film sehr zu emphelen."
negative;positive;"neben ""out for justice, nico, hard to kill"" und ""under siege"" der wohl beste seagal-film ... alles nach ""on deadly ground"" war mehr oder minder gare gã¼lle ..."
positive;negative;der film berã¼hrt euch?
positive;negative;die geschichte ist seltsam, die schauspielerische leistung unterirdisch und die effekte im film merkt man die computerabstammung an.
negative;negative;wer sich dessen bewusst ist und auch schon die ein oder anderen bericht via fernsehen, internet etc. gesehen hat.
negative;positive;von der besetzung brauch ich erst gar nicht zu reden, besser gehts eigentlich nicht.
negative;negative;zwar wird dort extremste gewalt angedeutet, jedoch nicht wirklich gezeigt.
positive;negative;nur schauspielerinnen und wenn mã¤nner da auftreten, werden sie al blã¶de dargestellt.
positive;positive;der film ist da amã¼santeste und fieseste familientreffen seit langem
positive;positive;dieser film bietet nicht nur eine menge schã¶ner bilder untermalt mit solo zweier weltbekannter streicher, er zeigt durchaus auch eine sehr emotionelle seite.
negative;positive;kino im 21. jahrhundert.
negative;positive;trotzdem bleibt zu hoffen das sich der streifen zu einem kleinen klassiker entwickelt â€¦ fazit: nette, kleine actionnummer, spaãÿig und vergnã¼glich!
negative;positive;die beiden harmonieren wunderbar miteinander.
positive;positive;"gegen aussen mag sich die dystopische blutfabel ""battle royale"" al brutale, stellenweise stark ã¼berzeichnete parabel auf verdrã¤ngte kriegstraumen prã¤sentieren, im kern versteht e fukasaku aber auch, existenzielle fragen anzutã¶nen und auf geradzu gemã¤chliche art und weise antworten oder gegenfragen zu liefern."
negative;negative;auch ergibt sich in diesem finale ein groãÿer logikfehler.
negative;positive;wer larson aber wirklich die show stiehlt ist der achtjã¤hrige jacob tremblay, der eine der wahrscheinlich authentischsten jungdarstellerperformances abliefert, die ich je gesehen habe.
positive;positive;dieser film ist einfach toll!!!
positive;positive;aufgrund der eher schlechten rezessionen ging ich mit einer ziemlichen ungewissheit in kino, obwohl ich mich sehr auf diesen film gefreut hatte.
negative;positive;hã¤lt die groãÿen spannungen, die die israelische gesellschaft prã¤gen aus, ohne sie schã¶nzufã¤rben oder zu moralisieren.
negative;positive;ich musste dabei ã¼ber mein eigenes leben nachdenken...
negative;positive;fortsetzungen.
positive;negative;mein rat: lieber nochmal 28 day later ansehen und sich nicht von der schlechteren wertung abschrecken lasse...
positive;positive;wa mir am drehbuch allerdings wirklich auãÿerordentlich gut gefiel (und wo sich der film dann auch definitiv von den standardfilmen entfernte), war der fokus der geschichte, denn dieser ruhte wirklich 118 minuten lang nur auf unseren hauptfiguren.
negative;negative;die nebendarsteller, auch zu erwã¤hnen josh brolin fallen weder negativ noch positiv auf.
negative;positive;er will ihn, er will kal-el aka clark kent und droht, die erde zu zerstã¶ren wenn er sich nicht innerhalb von 24 stunden stellt.
negative;positive;man mus nicht in der zeit zurã¼ck reisen, nur um sein leben in einem zweiten anlauf besser zu gestalten, denn die eigentliche kunst de lebens liegt darin, jeden tag so zu leben, al wã¤re er der letzte und beste.
negative;negative;in ansã¤tzen ist die story ja noch interessant, doch finde ich sie nicht tiefgrã¼ndig genug und sehr in die lã¤nge gezogen.
negative;positive;zu ti1t: ich respektiere deine meinung, aber ich stell dir mal ne gegenfrage: hast du schonmal was, z.b.einen computer, im saturn gekauft, zusammengesetzt, installiert und zum laufen bekommen?
positive;positive;fluch der karibik, teil 1 und auch 2 sind einfach die besten filme ã¼berhaupt.natã¼rlich ist in teil1 die geschichte komprimierter und abschlieãÿend...teil2 ist eben nicht so,da e nur die halbe geschichte und teil3 die fortsetzung ist.teil 2 ist vor allem interessant,da viele kleine einzelheiten versteckt sind,die einem beim ersten mal gucken nicht auffallen.auch spielt johnny depp nach wie vor ã¼berzeugend und gut.ich freue mich auf den 3.
negative;negative;aber der film war so flach, das wir dem buch im nachhinein mehr tiefe zubilligten, al wir e bi dahin getan hatten.
negative;negative;aber mal ehrlich, viel handgemachte action, gepaart mit ein bischen moderne (wie damals im 2.)
positive;positive;fã¼r alle fantsyfans empfehle ich diesen film aber der rest mus diesesn guten film nicht zwingend sehn.
positive;positive;"""spotlight"" handelt von einem journalistenteam, das den missbrauch in den katholischen kirchen aufdecken will!"
positive;negative;gottseidank war ich nicht im kino und habe mir diesen film angetan.
negative;positive;schauspielerrisch ist e eine sehr gute leistung von den darstellern, sachlich korregt und nicht ã¼bertrieben.
negative;positive;um noch einmal auf da thema ã¼berzogen zu sprechen: shoot em up ist hemmungslos ã¼berzogen.
positive;positive;hat riesen spaãÿ gemacht diesen film zu sehen.
negative;positive;in einer welt die so sehr ausseinander bricht erscheint mir der wunsch sie ein wenig zusammen halten zu wollen nicht so schlecht zu sein ( desmond dos ein mus fã¼r jeden film.liebhaber hacksaw ridge ab donnerstag im kino
negative;positive;punkt.
positive;positive;wa mich an der erzã¤hlweise de film allerdings stã¶rte, war, das sich der film â€“ vor allem gegen ende â€“ doch ziemlich in die lã¤nge zog und dabei dann da ende in drei sã¤tzen abgehandelt wurde und sehr abrupt kam.
positive;positive;die beiden verlieben sich ineinander obwohl da mã¤dchen bereits versprochen ist.
negative;positive;respekt.
positive;positive;denn dieser film hat sinn, humor, logik und vor allem kreativitã¤t.
positive;positive;ich war voll gebannt und diesis gefã¼hl in einer situation zu stecken und nicht raus zu kommen, kã¶nnte ich gut nachempfinden.
negative;positive;e sind viele szenen dabei die anders und lustig sind trotz der bekannten klischees.
negative;positive;die story 2.die atmosphã¤re 3.
positive;negative;wunderschã¶n gemacht dieser film, aber mus man deswegen diese extrem offensichtlichen logikfehler ignorieren?
negative;positive;so sollten filme sein!
negative;negative;der erste teil von crank gehã¶rt zu den top 10 meiner lieblingsfilme!
positive;negative;wie der angriff dieser ss-kompanie auf den panzer zudem militã¤rtaktisch dargestellt wird(schieãÿbude trifft e ganz gut), ist ein schlechter witz und dann nur noch die spitze de eisbergs.
negative;negative;wenn da nicht gruselig ist, wa dann?
negative;positive;kommen zudem wa wirklich interessiert, die schauspieler sind fã¼r solche einen film sehr passend ausgewã¤hlt, der score haut einem mehrmals die gã¤nsehaut mehrmals durch den ganzen kã¶rper und am ende billy boyd mit last goodbye, besser geht e nicht.
negative;positive;doch auch fã¼r sophie schreibt diese geschichte ein paar neue zeilen ihres lebens.
negative;negative;leider nicht ganz.
negative;positive;ein maskierter killer hat die familie gefangen, nur die kleine tochter scheint noch irgendwo versteckt zu sein und so entschlieãÿt sich arkin, ihr zu helfen.
negative;positive;allen voran jedoch steht omar sharif, den ich fã¼r einen der besten schauspieler seiner zeit halte.
negative;positive;back to the weeds.
positive;negative;das der film auch zu recht keinen goldjungen bekommen hat, ist zum groãƒå¸teil dem meiner meinung nach dem au welchen grãƒâ¼nden auch immer oscarnomminierten drehbuch geschuldet.
positive;positive;die auãÿerirdischen selbst werden im film allerdings nicht erwã¤hnt.
positive;positive;"""man of steel"" ist ein reines actionspektakel."
negative;positive;"wa die filmmusik von thomas newman betrifft, so kehrt dieser in ""skyfall"" eher wieder zu den wurzeln von 007 zurã¼ck und versetzt un somit in da klassische bond feeling."
positive;positive;die ersten 2\3drittel de film sind absolute weltklasse, wobei eine absolut fesselnde spannung erzeugt wird.
positive;positive;da liegt daran, das der film auf wahre begebenheiten beruht.
positive;positive;einfach perfekt ich find den film total gut!!
negative;positive;"um seinen sohn ""nach hause"" zu holen macht sich thomas auf den weg nach frankreich."
negative;negative;hallo, wir haben un den film auch angeschaut, weil er enorm gehypt wurde.
negative;negative;beherzt steigt bibi al ersatzspielerin ein, macht natã¼rlich ein paar punkte und bekommt - natã¼rlich - ã„rger, weil ein mã¤dchen sicher nur punkte machen kann, wenn sie gehext hat.
negative;positive;ãœberhaupt ist der gesamte film voll von bombast-action und atemberaubenden special effecs die sich wirklich nicht vor der konkurrenz verstecken muss.
negative;positive;in kombination mit den eingespielten kommentaren diverser radio- und fernsehkommentatoren entsteht beim zuschauer so ein echtes rennfeeling, auch wenn diese szenen ab und zu ein wenig unã¼bersichtlich wirken.
positive;negative;und die story war auch mehr al lachhaft.
positive;positive;da bã¼hnenlicht von der eisflã¤che wurde auf den auf sie zulaufenden gang, wo nancy kerrigan bitterlich weinte, gerichtet.
negative;positive;die kritik ist sehr passend (auch wenn sie sehr spoilert!
positive;positive;davon war ich unglaublich beeindruckt.
positive;positive;da einzigste wa noch gefehlt hat, ist q der die menschheit erneut vor gericht stellen will:-) dieser film ist der beweis, da star trek besser al star war ist!
negative;positive;deshalb gab e genã¼gend spielraum fã¼r action, und einen robert downey jr.
negative;negative;sigourney weaver spielt zwar ihren charakter wie gewohnt super, doch leider hat dieser kaum noch wa mit der replay zu tun, die man nach den 3 ersten teilen nur bewundern konnte.
positive;positive;ein absolute feuerwerk an special effects.
negative;positive;natã¼rlich darf auch eine absolut vorhersehbare lovestory nicht fehlen.
negative;negative;de weiteren enttã¤uscht da ende auf ganzer linie: alles nimmt plã¶tzlich doch ein gutes ende â€“ natã¼rlich vã¶llig ã¼berraschend-, wa niemand hã¤tte erahnen kã¶nnen...
negative;positive;perfekt geflimtes und inzeniertes re-launch der serie, in der auch der humor in der genau richtige dosis nicht fehlt - wir kãƒâ¶nnen un auf mehr freuen!
positive;positive;musik kommt nur vor, wenn einer im film da radio oder den plattenspieler anschaltet.
positive;positive;im ganzen eine sehr gute komã¶die, die man sich auf jedenfall mal anschauen sollte.
positive;negative;sollten dennoch zwei filme mehr gedreht werden, wird da nicht mehr ausreichen.
negative;negative;um e in schulnoten auszudrã¼cken: e ist so al hã¤ttet ihr zuerst eine 2 geschrieben, dann eine 4 und zu allerletzt auch eine 6!
negative;positive;doch wer fan und sich al kleines kind schon begeistern konnte fuer die beiden affen^^ wird vollstens zu frieden sein!
positive;negative;schwach ist der film keinesfalls, aber mehr al durchschnittlich auch nicht.
positive;positive;trotzdem musste ich fast ununterbrochen grinsen ã¼ber diese genialitã¤t, vor allem charly hat mich in seinen bann gezogen.
positive;positive;da war auch wieder mehr im 1.
positive;positive;doch machte diese thematik im bestreben der bond-filme nach mã¶glichkeit zeitaktuelles zu bieten sinn.
negative;positive;die gesangseinlagen sind exzellent,bestechen durch eine mitreiãÿende inszenierung.
positive;positive;auch wenn praunheim wie in vielen seiner anderen film auch hier al protagonist prã¤sent ist, so wird da im laufe de film doch zusehends nebensã¤chlich.
negative;positive;absolute highlight natã¼rlich der final showdown gegen den teufel selbst.
positive;positive;beide filme haben ihre daseinsberechtigung, da durch die ã–ffnung der story ein ganz anderes gefã¼hl vermittelt wird.
positive;negative;"nur ein paar ""highlights"" (diese kann ich nur aufgrund der tatsache, das der rest de film einfach nur fad ist, al solche bezeichnen) wie z.b. marcellusâ´ spruch (""ich bearbeite dich mit einer lã¶tlampe"") oder butchesâ´ spruch (""ich bin amerikaner, dort haben namen keinen tieferen sinn"") retten den film fã¼r mich persã¶nlich vor dem totalabsturz."
negative;positive;die dã¼stere atmosphã¤re dazu und die insbesondere die absolut grandiose leistung der beiden jungdarsteller.
negative;positive;verdammte ignoranten!
negative;positive;unglã¤ubige haben keine bibelkenntnisse.
negative;negative;leider spielts den nicht mehr im kino, aber der hat wirklich absolut klasse!
positive;negative;da ende auch sehr gut!
negative;negative;2.
positive;positive;sicher, er ist nicht jedermanns sache, doch wer auf filme wie die hochzeits-crasher oder dem klassiker fear and loathing in la vega steht, der wird sich bei diesem film mit sicherheit vor lachen krã¼mmen.
negative;negative;selbst ich al frau mus gestehen, das die mã¤nner im film sehr klein gehalten werden.
positive;positive;beispielsweise snapes errinerungen oder harry und dumbledore im vorsaal zum jenseits... dafã¼r hat sich der film zeit genommen, und da war ein sehr groãÿes plus!
positive;negative;ich meine das seymour ja nicht einmal die chance bekam sein kã¶nnen zu zeigen.
positive;negative;"""der sensible chris wã¼rde an der trennung zerbrechen â€“ und doch kann er nicht anders, al weiterhin fã¼r mccauley zu arbeiten und der spielsucht zu frã¶nen."""
positive;negative;film-noirisch bi hitchcockmã¤ãÿg, einen blick wert, wenn auch keiner der ganz groãÿen bringer au seiner zeit.
positive;positive;wã¤r seeehhhrrrrrr net.
positive;positive;ebenfalls waren sie nicht so sehr von dem noch unbekannten al pacino ã¼berzeugt.
positive;positive;der film ist in einem bemerkenswerten tempo gedreht.
positive;negative;auch wenn die schauspielerleistung teilweise solide war, wurde der film dadurch nicht gerettet.
positive;negative;auch die idee ist seht gut.
negative;negative;die andeutung zum ende, wa mit jimmy passiert sein kã¶nnte, wirft dann jegliche message, die den ganzen film lang vorher langatmig propagiert wurde wieder ã¼ber den haufen.
positive;negative;alles in allem, ein zã¤her, langweiliger film (und wir hatten keinen aktionreiãÿer oder ã¤hnliches erwartet).
positive;negative;meiner meinung nach teilweise ja, aber da ist noch luft nach oben.
negative;positive;aber bei harry bin ich enttã¤uscht.
positive;negative;da fã¼r meine meinung nach schlechteste werk von tim burton.
positive;negative;der film ist soooo schlecht.
negative;positive;groãÿes kino wa einen hier erwartet!
positive;positive;thanks peter!
negative;positive;fan sollten sich die editiere ulysses cut nicht entgehen lassen.
negative;positive;gleichzeitig wã¼rdigt burton aber in seiner eigenen weise altmodische horrofilme und bringt insbesondere in der erã¶ffnungsszene wie auch beim apokalyptischen showdown gothischen, lauten und blutigen horror auf die leinwand.
positive;positive;an @andreas jetzt jetzt beruhig dich mal wieder,ok?!
negative;negative;5.
negative;negative;"auãÿerdem wirkt e nicht so ã¼berladen doof und billig wie bei ""batman v superman""."
positive;positive;nach jurassic world versuche ich mich nun erneut al filmkritikerin.
positive;positive;somit dã¼rfte die vaterfigur viel mehr sein al ein verkappter auãÿeridischer - nã¤mlich die inkarnation eines wesens, da zugang zu allen gedanken und vorstellungen hat, die jemals im universum existierten (oder, noch metaphysischer: ein wesen, da al eine art weltgeist alle diese gedanken und vorstellungen verkã¶rpert).
negative;positive;immer wieder tauchen hinweise auf, die er nicht zu deuten vermag.
negative;negative;"beides zusammen funktioniert nicht und heraus kommt so ein holpriges drehbuch-desaster wie in den letzten ""007-verfilmungen""."
negative;positive;diese ist im grunde recht simple (zumindest nichts wirklich neues), aber zeitversetzt und etwas chaotisch erzã¤hlt, so das der zuschauer in bann gehalten wird.
positive;positive;dieser film ist einfach nur klasse er ist der erste in der reihe der stets dã¼ster ist und nicht versucht alles so kinderfreundlich wie mã¶glich zu machen weshalb er einer der besten der reihe ist
positive;positive;ich befinde diesen film fã¼r genial weil er viele dinge ausspricht ie jeder in sich hat, er ist sehr stark an den manga und da anime angelehnt, wa selten ist bei verfilmungen deiser art.
positive;positive;ich liebe auch problemfilme, film noir und ã„hnliches, aber: da ist locker, luftig, lã¤ssig.
positive;positive;eines der besten filme von takashi miike kein reiner actionfilm sondern eher ein action-drama fazit: ein sehenswerter film den hollywood nie drehen kã¶nnte
positive;negative;der film fã¤ngt sehr ruhig an, steigert sich dann jedoch, bi er nach einiger zeit wieder an spannung verliert.
negative;negative;ich bleibe bei den bã¼chern.
positive;positive;lass diesen film da wo er ist!
negative;positive;und der neue stirb-langsam ist der beste action-film, den ich die letzten jahre gesehen habe.
negative;positive;spitze!
positive;negative;wobei da jetzt ken groãÿer negativer punkt ist.
negative;negative;"die dramatische gestik und abschlussrhetorik de lehrers kurz vor dem ende passt nicht zu der viel zu kurzen und viel zu ""einfachen"" entwicklung."
negative;positive;e gibt nicht zuviel action aber auch nicht zu wenig, alles sehr ausgewogen.
negative;negative;nebensã¤chlich.
negative;negative;auch vorã¼bergehende impotenz bei superhelden wird thematisiert, hier soll un gezeigt werden, das der mann zutiefst von seiner verletzlichen psyche gesteuert wird und unter umstã¤nden ein latex-kostã¼m mit action-vorspiel zur erhã¤rtung seiner mã¤nnlichkeit benã¶tigt.
positive;negative;"damit man dann im hanebã¼chenden finale auch solche vã¶llig rã¤tselhaften attribute wie ""familie"" und ""freunde"" zu hã¶ren bekommt."
positive;positive;wie in fast jeder von burton produktionen, wirkt die umgebung (ebenso wie die darsteller durch ihr besonders gestaltetes ã„uãÿeres) fast schon sureal und somit sehr geheimnisvoll.
positive;positive;der film ist durchgehend spannend und sorgt mit einer leichten briese gesunden humor fã¼r einige lacher.
positive;positive;negativ fielen mir manche zeitsprã¼nge leider auf da da erste zusammentreffen am flughafen einfach ã¼berspielt wird obwohl ich e mir nicht vorstellen kann da godzilla diesen so einfach entkommen lassen wã¼rde oder der mato auf da selbige hinaus war.
positive;positive;wenn dann einer wie er plã¶tzlich fã¼r einen golden globe nominiert wird, horcht man schon auf.
positive;positive;die inszenierung ist bestechend prã¤zise, der film ã¼ber 2 stunden nicht nur spannend, sondern auch emotional packend.
negative;positive;er zeigt wa krieg au menschen macht und wie er sie verã¤ndert.
positive;negative;auch wenn die schauspielerische leistung der beiden hauptpersonen noch so gut ist, der film an sich ist e nicht.
positive;negative;der charme eines terence hill sowie einige sehenswerte nebencharaktere liessen mich den film vollstã¤ndig ansehen und machten da erlebnis zu mehr al verlorener zeit.
positive;negative;"in diesem film hat besagte ""anfangsphase"" 80% de film gedauert."
negative;positive;sehenswert...
negative;positive;ich hoffe auf mehr teile.
negative;positive;selbst 24 stunden nach dem schauen, denke ich immer wieder zurã¼ck.
negative;positive;"star war wã¤re ohne ""die rã¼ckkehr der jedi ritter"" nicht star war und alle drei teile sind gleichsam die besten filme aller zeiten."
positive;negative;da kann nicht euer ernst sein.
negative;negative;elysium dagegen: klischee, banalitã¤t, un-spannendes.
negative;positive;die bilder sind eindrucksstark und sehr aussagekrã¤ftig, die star ã¼berzeugen in ihren rollen al vier drogenabhã¤ngige individuelle, die ihrem untergang entgegen gehen.
negative;negative;dichte handlung, spannung, action und einen ã¼berragenden hauptdarsteller.
positive;negative;der film spielt im jahr 2035, die protagonisten sind schon mitte 30, haben aber auãÿer will smith oft keine ahnung wa im 2000 stattfand, sehr unrealistisch!
negative;negative;beide sehr originell und lustig.
positive;positive;hallo ich kann e net anders saegen: der film ist ein klassiker.
positive;negative;also, wenn ich eine gut inszenierte verfolgungsjagd will, schaue ich doch die klassiker an wie bullitt, ronin und von mir au auch taxi 1, aber da hier ist wirklich einfach nur schlecht.
negative;negative;"im vorfeld habe ich sachen wie ""bildgewaltiges meisterwerk"" oder ""ein 3d erlebnis"" gelesen und dachte mir der film ist sicher nicht so schlecht."
positive;positive;lustiges remake mit einer coolen besetzung und ner menge witz!
positive;positive;mein tip: geht hin, freut euch an sturen weinbauern, die ihr land und ihre reben lieben auch da gibts noch!
positive;positive;al mir dann plã¶tzlich klar wurde, daãÿ josh hartnett mit bruce willis gemeinsame sache macht und auf einem gnadenlosen rachefeldzug war, war ich von hartnetts darstellung mehr al ã¼berzeugt.
positive;positive;"nach querlesen der rezensionen, bin ich doch ã¼berrascht, welches polarisierungspotetial offenbar ""sin city"" innewohnt."
positive;positive;aber bi zu diesem punkt war der film einfacher nur toll, und weiãÿ mit vielen stromberg typischen lachern zu begeistern!
positive;negative;natã¼rlich ist da bild der mã¤nnerrolle und frauenrolle (leider) fast immer noch ã¼berall so, aber eine etwas andere sicht darauf wã¤re schon gut gewesen.
negative;positive;ja, die geschichte drã¼ckt auf die trã¤nendrã¼se - aber im positiven sinne.
positive;positive;zwei weitere verã¤nderungen sind ebenfalls auf geschmackliche kritik gestoãÿen: da wã¤hren zum einen die neuen â€“ besseren â€“spezialeffekte.
negative;positive;die beiden ã¼berzeugen al feinde, partner-wider willen aber auch al erste anzeichen von sympathien zwischen den figuren aufblinken.
negative;positive;besonders jonathan rhys meyers und scarlett johanson!
positive;positive;macht nichts da ansonsten herz, gefã¼hl ect.
negative;negative;ich hatte lust auf ein bisschen hirnlose action und hab bekommen, wa ich erwartete.
positive;positive;man wird immer wieder daran erinnert da e sich um fiktion handelt.
negative;negative;gar nichts!
negative;positive;insgesamt betrachtet verlieãÿ ich den kinosaal trotz hã¶herer erwartungen zufrieden und mit lust auf mehr.
positive;positive;der film verstrã¶mt eine unglaubliche stimmung, eine blutige freiheit, zwischen gefahr und allmachtsphantasien, al hã¤tte de palma in den achtzigern gta verfilmt - nur ohne da offene ende, sondern mit der logischen konsequenz, dem wahnsinnigen schrei, der so lange hallt, bi au dem mund keine worte mehr kommen, sondern blut.
negative;negative;stellt alles da wa in der modernen media-welt falsch lã¤uft.
negative;positive;"ãœber ""psycho"" wurde schon alles gesagt wa gesagt werden muss."
negative;negative;noch einer lebt..nach meiner auffassung wã¤re dann vielleicht jemand aufgefallen, das e nur ein bã¶ses spiel ist..wã¤re nur logisch oder?
positive;positive;story, humor, schauspieler, logik, roter faden etc. fã¼r mich ein meilenstein der filmgeschichte und wohl der beste film den ich bisher gesehen habe!
negative;positive;die fã¤higkeit, sich in eine phantastische geschichte hinein zu trã¤umen und ein wunderbares mã¤rchen zu erleben...!
positive;positive;der film bestã¤tigt in aller hinsicht, das sich auch da auãÿeriridische weiterentwickelt und sich an die heutige zeit anpassen kann.
positive;positive;step up war ein ganz nettes drama in dem ein straãÿenjunge mit der prima-ballerina zum super-paar wird.
negative;positive;"mit ""following"" ist christopher nolan ein wirklich hervorragender noir-thriller gelungen, der gerade aufgrund seiner low-budget-produktion eine ganz besondere atmosphã¤re ausstrahlt."
positive;positive;wenn man tmnt- fan ist.
positive;positive;und e war atemberaubend.
positive;positive;einer der traurigsten.
positive;negative;kaum spannung, extrem dumme charaktere und eine unglaubwuerdige story
negative;negative;die dialoge waren leider oft platt und zusammenhanglos, einige wenige dafã¼r unerwartet clever.
negative;negative;noch ein paar mehr in die luftgesprengte grabsteine dann wã¤re da ganze schon etwas spannender.
positive;positive;eine (nicht unbedingt neue) aber sehr gut umgesetzte story, besetzt mit klasse schauspielern.
negative;negative;eine ansammlung uninteressanter personen (typ bã¼rohengste), verstrickt in einen versponnen konstruierten fall, der auch nicht viel bringt.
positive;positive;ich muãÿ sagen, da mich da deutsche/ã–sterreichische kino (weingartner ist ja ã–sterreicher) immer mal wieder ã¼berraschen kann.
positive;positive;jeder einzelne film ein kleines meisterwerk - verbunden nur durch da thema, die liebe - und die stadt die dem film den titel gibt.
positive;positive;"fazit: ""hostiles"" ist hart, traurig, extrem mitreiãÿend, ruhig, schonungslos und lã¤sst einen still vor dem abspann."
negative;negative;schauspielerleistungen sind solide, keine ausreiãÿer nach oben oder unten.
positive;positive;e sei gesagt, das e der vielleicht beste star war teil ist, der durch die menschlichkeit der einzelnen charakter, den alten flair und die neue geschichte ã¼ber die macht lebt.
positive;positive;unterm strich ist da ding au einer anderen welt ein gruseliger, spannender, blutiger und actiongeladener splatterschocker alter schule der einem regelrecht da blut in den adern gefrieren lãƒsst.
negative;positive;eine groãÿartige oder tiefgehende geschichte hatten die jackie chan filme noch nie nã¶tig â€“ dieser hier auch nicht.
negative;positive;schã¶n, das e noch solche filme mit solcher besetzung gibt!
positive;negative;ein zu oft und nie gut verfilmtes thema.
positive;positive;auch wenn der film technisch nicht herausragend ist, hat er interessante dialoge & bringt einem zum nachdenken.
positive;positive;vor allem der punkt, man weiãÿ wie e wirklich war, aber stellt man sich die lage au der sicht eines bewohners vor, hã¤tte man nicht genau diese vorurteile?
negative;positive;gute entscheidung!
negative;positive;wa sehr schã¶n gemacht war, war wo man den glã¤sernen sarg ã¶ffnete und die lichtung so ein schã¶nes licht hatte.
positive;positive;"eines zeigt ""the wild bunch"" aber deutlich: gewalt fasziniert vor allen dingen."
positive;positive;atmosphã¤re: hier punktet der film auf ganzer linie!
negative;positive;ich wã¼nsche keinem von ihnen jemals in solch eine situation zu kommen und seine seele verkauft zu haben.
positive;positive;da eingangsszenario mus da publikum schlucken wie sandra ihre pillen.
negative;positive;"auf jeden fall ist dieser film ein sehr sehr gelungenes spektakel, wa nicht nur den perfektionierten visuellen stil ausmacht, sondern auch das diese story spannend, kreativ und sehr schã¶n dã¼ster mit dem passendem schwarz/weiãÿ harmoniert, soda eine sehr geile stimmung aufkommt und eine gewisse art von ""sin city"" pflegt, allerdings etwas mehr comic drin steckt, wa aber keiensfalls negativ fã¼r diesen film oder gar fã¼r ""sin city"" auswirken soll."
positive;positive;ich habe den film schon in neuseeland auf englisch gesehen.
negative;negative;aber wozu auch, die figuren sind so und so nur leere hã¼lsen.
negative;positive;denn da wa wir heute al aneinanderreihung hochgradiger klischees empfinden wurde hier geboren!
negative;positive;wã¤hrend die maschinen um sie herum die unterlagen vervielfã¤ltigen haben sie etwas einzigartiges.
negative;positive;die geschichte ist dabei sehr dã¼nn ausgefallen.
negative;positive;"""into the abyss"" ist passender."
negative;negative;die action geht gerade noch so durch obwohl viel zu wenig davon gezeigt wird.
positive;positive;e gibt keine wirklichen lã¤ngen, der soundtrack ist grandios, man wird einfach 111 minuten richtig gut unterhalten.
negative;positive;andererseits wã¤re eine version mit auflã¶sender wendung vielleicht zu klassisch und nicht so kunstvoll.
negative;positive;in der hauptrolle nicolas cage, sehr gut gemacht (!
negative;positive;fazit: wirklich sehenswerte lustige komã¶die
