prediction;gold;sentence 
negative;positive;"no one would ever do that in reality."""
negative;positive;i don't think any better actor could be given these roles.
positive;positive;definitely watch it!
positive;positive;who ha already had the luck in life from birth to live successfully and carefree.
negative;negative;you have to remember that this is a children's movie.the first part wa much more fun than the 2 and 3.but a it is with the movie the sequel are myst worse.i would buy it for my child but certainly not for me.
negative;positive;ok, so the title isn't exactly a bummer, but i still wanted to give the movie a chance.
positive;positive;if that's not enough, a young talent like mark ruffalo also show his best side in this film.
positive;positive;the film give you the feeling of a cult film and is in many place a homage to old blockbuster and classic like e.t.. small length are unfortunately still present.
positive;positive;everything just fits...it's quite a work of art to pull the film off in such a geeky way over 2 hour and never lose the density of entertainment/suspense or comedy.
positive;positive;"yes and think about his own life with the ""plastic""."
negative;positive;in the end, this is mainly due to the actor and dances. everything is just right in this film.
negative;positive;^^, i've er thought that the film totally boring and so is, abba then he wa pretty good, the romantic part war the coolest!
positive;positive;"""the templar's legacy"" doe it thing very well, though!"
positive;positive;"let his pioneer quite incited and with the same fervor (you can sometimes even see the fire in mccougney's eye directly) a the technology-enthusiastic ""we'll do it"" - 68 generation launch into space and search for the impossible."
negative;positive;unfortunately, the end is a bit too flat for me and therefore 1 star deduction!
positive;positive;the performance by dicaprio and foxx are also outstanding.
positive;positive;nevertheless, ipman 2 is better than it predecessor.
positive;positive;but here it wa portrayed without kitsch, without pathos, with realistic problem and multi-layered characters.
positive;negative;that a film should somehow depart from the book and go it own way can't justify that.
positive;positive;when one of the student finally try to take his own life, petra threatens to make the case public.
positive;positive;well, reaching a target audience with this work is difficult: child won't understand the irony and side-swipes, while older one will be put off by the childish drawing style.
negative;positive;so it's not surprising that he prefers to 'play' with a guy he find interesting instead of hanging out with the boring gang member and get mad when someone take his toy away.
positive;negative;but that is a matter of opinion.
positive;positive;"""fantastic beast and where to find them"" is well realized, so we immediately felt transported back to the magical world."
positive;positive;and how human it all is.
negative;positive;b) the far too early turnaround in the story, already after a little more than half of the film.
positive;positive;"chu manages to catapult a dance firework onto the screen through the very convincing lead actor (especially briana evigan a ""andie"" and adam g. sevani a ""moose"") also through the good soundtrack (by timbaland, missy eliott, florida and t-pain among others)."
positive;positive;"the tone of the film shift from suspenseful to dramatic to funny; every note is spot on and this make for a nice change of pace."
positive;positive;always provided you like comic book movie and especially the marvel cinematic universe.
positive;negative;everyone liked the movie.
negative;positive;"he doesn't force an opinion on the viewer but let him decide for himself what the viewer think is right in the ""fight"" against such a regime."
negative;positive;"maybe luo xiao hu, the ""black cloud"" love yu jen, but this is not true for yu jen, she is fighting (or just playing around)."
negative;negative;end time atmosphere is missing here!
positive;positive;since the medium is always about tom cruise being obsessed with scientology, etc., you forget about it.
negative;positive;this movie is just awesome.
negative;negative;this movie is o.a.
positive;negative;the continuation, i see just because of the grottigen end, exceedingly critically against.
positive;positive;very good film about the difference between love of adventure and love of country.
positive;positive;the audience figure are also impressive worldwide.
positive;positive;all in all, a really nice comedy!
positive;positive;however, i have a question for all those who have also seen the film: what's in the envelope dicaprio give the psychologist before he disappears?
negative;positive;no action bullet train is to be expected here.
negative;positive;"i had expected a ""normal"" action movie and wa very pleasantly surprised here."
negative;positive;"however, the presentation of the film is really well done, even if someone who doesn't know the material can hardly comprehend the threat of a sephiroth or jenova, a it is somewhat underlit - be sure to watch the bonus dvd ""last order"" before the actual film."
positive;positive;very good film from the 70s!
negative;positive;the character seem so real and although the whole plot could be considered a bit overplayed, he spit the cold truth in everyone's face.
negative;negative;the obligatory love story is just an uninspired subplot and the ending is anything but surprising.
positive;negative;the cinema wa 30% full.
negative;negative;personally, i would have liked to see a bit more depth, and i wasn't particularly convinced by the character either.
negative;positive;to do this, he need blood and this is where larry's consort julia come in... you can find the full review here:
positive;negative;in addition, two excellent actor dress the two main characters.
positive;positive;the film deal with the topic of immigration to the usa in a very differentiated and sensitive way.
negative;positive;however, the action scratch a bit at the credibility of the plot when a somewhat dimwitted cop is able to take out 3 bank robber by himself.
positive;positive;the others also throw themselves full lotte into the written word and so a bitter, hard family drama arises that doe not deliver any visual show values, but emotional highlights.
positive;negative;adolescent book adaptation are increasingly becoming a genre of their own and increased extremely, especially this year.
negative;positive;in the foreground for humorous interlude is of course teddy bear ted.
positive;positive;now the subplots of the story and the shallowness at the beginning of the film give meaning and participate in the refinement of jep gambardella.
positive;positive;a successful film with many exciting scenes.
negative;positive;after the rather poor 2nd half of the year
positive;positive;more is not to be revealed here.
negative;negative;the world-famous mime can't show off their acting talent at all.
positive;negative;bourn is of course a very good example.
positive;positive;delicate mind and fan of superficial hollywood movie with happy ending should give this flick a wide berth due to the sometimes violent depiction of violence and the overall disturbing plot.
negative;positive;i saw the film in austria and am thrilled, although i normally don't care much for classical music.
negative;positive;went into this movie with a lot of preconceptions.
positive;positive;in addition, the beautiful, expressive image and the strong character are another reason to watch this film.
positive;positive;that would be, on the one hand, a very good cast (kevin spacy a lester burnham), an excellent gripping story with many element such a tragedy, drama and funny to satirical components.
positive;negative;entertain?
negative;positive;effects?
positive;positive;the refreshing dialogues, appropriately adapted from the novel by neurologist lisa genova, also contribute to this.
negative;positive;orgy of violence: braindead 120 day of sodom cannibal holocaust cannibal ferox face of dead (all parts, despite fakes) etc violent movies: dance of the devil re-animator zombi woodoo day of the dead kill bill etc quite violent movies: true romance running scared dawn of the dead (2004) etc average brutal movies: pulp fiction the blob scream (1+2) schindler's list saving private james ryan dance of the devil 2 etc little violence pan's labyrinth (!)
negative;positive;you can't identify or sympathize with any of the characters, who remain very flat except for yuri, his brother and the arm dealer weisz.
positive;positive;shocking , exciting , top !
negative;positive;all the figure allow a look that excludes any sense of artificiality.
positive;positive;but for those who like the penchant for aesthetics, the film is a must and will entertain splendidly.
negative;negative;just a typical straightforward revenge and conspiracy flick without surprise with some decent action scenes, bigger story hole and some very weak dialogue.
negative;positive;3d, high frame rate.
negative;positive;highly recommended insider tip, the film would have deserved far more viewer in my opinion.
positive;positive;"zoe ""annamaria"" saldana (""pirates of the caribbean"") also play a crucial role."
negative;positive;no oscar again.
positive;positive;"and one more thing, filmstarts.de: ""happy gilmore"" is a masterpiece."
positive;positive;the subsequent escape of the protagonist - also great, what is there to deny?
negative;positive;there are movie that are instant classics.
positive;negative;are you still there?
positive;positive;a story with a lot of emotion, lust, love, joy and drama.
negative;positive;the hundred and thirty minute seem like twice a long!
negative;negative;i always had the feeling that half of it wa missing here, which also led to the fact that for almost the entire second act i had no idea what wa actually going on on the screen.
negative;positive;unfortunately, you have no idea at all about good movie and plenty of them.
positive;positive;kim basinger in ideal casting.
positive;positive;the facial expression of the lion are particularly well worked out.
negative;negative;of course it's just a short film and of course it's a bit bizarre, but those 30 minute didn't appeal to me at all.
positive;positive;the film also show a little bit of the history of america.
negative;negative;it only get quite nice from the middle on.
negative;positive;wã¤r the film badly find ha him simply not understood or with the topic nix am hut the insider know what is meant by the film and what is criticisirt with it!
positive;positive;he radiates an aura, a presence.
negative;positive;so from me in any case 8 points.
negative;positive;bottom line: kramer's goal with this film isn't up front, but it's there.
negative;negative;it's all just muddled.
negative;negative;i give this movie 5 point because some part are drawn out....
negative;positive;the story is very clear, and it actually work without much depth, but the light irony doesn't turn it into a total trivial work.
negative;negative;and finally, there remains legolas, who seems to have mutated into a super-elf.
negative;positive;the rest of the character are really just there, they don't get much characterization, but they do have a personality and so it's all okay, especially since we're dealing with a comic book adaptation.
positive;positive;absolute recommendation.
positive;positive;"our law make it so easy."""
negative;negative;that wa it.
positive;negative;"and the deliberately posed scenes, like the one with his ""producers"" and the one with pamela (tell my grandma that wa real)."
negative;negative;i also found the story boring.
negative;negative;thus, the film is nothing whole and nothing half.
negative;positive;the mental borrowing from 'excalibur' or the sleeping potion in 'romeo and juliet' don't disturb at all, but fit well into the picture, which is often kept gloomy and thus creates the necessary atmosphere.
negative;negative;saw this movie in the sneak a well.
negative;positive;"for fan of crazy space movie that don't take their own myth excessively seriously, ""valerian"" will prove to be a lucky find."
positive;negative;"the presentation is quite ok, it's a great, sun-drenched film that ha the image of ""romance"" oozing out of every pore."
positive;positive;it's all about bullock, and rightly so.
negative;positive;everything is just right with this film.
positive;positive;i came across the film rather by accident, and wa totally surprised how good it is.
positive;positive;we see a depressed sun and sultry suburbs.
negative;negative;since i had almost no expectation of the film, i wa not disappointed...but also not surprised.
negative;positive;i think the idea of making a musical out of the material is great.
positive;positive;garnished with action, great images, and broader approach to family, self, and medical/technical ethics.
positive;positive;but also the uncertainty he must feel about what may happen next in this hideous extermination machine.
negative;positive;i have only seen this and the first rambo part and this one really convinced me.
negative;positive;i wa equally unsurprised when i heard that the sequel were virtually shredded by critics.
negative;positive;unfortunately, i know few in my circle who appreciate this film.
positive;positive;very cool and magical!!!
negative;positive;there are actually very few scene like that here, but nevertheless you get your money's worth a a goosebump fan.
negative;negative;conclusion: i clearly hoped for more and am therefore already very disappointed.
negative;negative;the main plot of the story, wa so stupid that i am at a loss for words.
positive;positive;such a film is a stroke of luck!
negative;negative;i'd rather watch mary poppins!
negative;positive;a film that i didn't have particularly high expectation for in advance.
negative;positive;(probably supposed to embody the excessive amount of sensitivity of some women, which, however, is not exactly advantageous in view of the apocalyptic threat of the living dead).
negative;negative;that's why the ending is so illogical that it scream spoiler: is the whole perfidious plan of the underground based on the fact that the game leader is a rebel, all those who were already suspicious are in cahoot and the protagonist get the idea to shoot an electric arrow at the dome at exactly the right moment, where two minute later a flying ship pick up the lady?
negative;negative;however, one then lean back willingly, let it pas over one's head, and perhaps, contrary to expectations, it even turn into a nice afternoon.
positive;positive;and especially his exaggerated ego with a tendency to overestimate himself and self-confidence, often get him into trouble.
positive;positive;even during a torture scene i couldn't help myself, even though i'm not a fan of film like saw or hostel.
negative;negative;"then he is on the safe side with gerard butler in ""olympus/london ha fallen""."
positive;positive;thus, the film's successful choice of name should also be noted on the sideline this time, which is logical even in the actual a well a metaphorical sense.
negative;negative;sure the figure play great but sure figure play bad.
positive;positive;he also showed great courage with the ending and sent a signal that disney doesn't just stand for love stories.
negative;negative;in any case, i would rather pump the money into the video store than go to this movie.
negative;negative;instead of embodying the world of the computer (tron 1), they decided to embody a simulated world (ala matrix), but why the hell doe everything have to be so mechanical?
positive;negative;i am referring exclusively to the heavily abridged cinema version of han w. geiãÿendã¶rfer's film version of thomas mann's complex mammoth work, which i wa privileged to attend a a high school student in a kassel cinema.
negative;positive;a reboot that made sense for once!
positive;positive;of course, everyone ha his own opinion, but the special effect and the transformation of the kelien ani to lord vader is simply bombastic!
negative;negative;perlman still cut quite a figure, but everything else remains pretty pale.
negative;positive;but this is never over the top and always fit the situation, it simply result from the action of the character and that is a long extinct art.
negative;negative;the film start well, ha it interesting moments, however, i must say: there could have been made much more out of it!
negative;negative;the story itself sound like fast action or something like a video game adaptation where a troop of people fight their way through a utopian train, from compartment to compartment or level to level.
positive;positive;the positive point of criticism are the absolutely brilliant camera work, the impressive scenery and the absolutely perfect realization of the story, which is based on a true incident.
positive;positive;the appearance of the spaniard and the open question of their function offer the viewer many possibility to end the film according to their own understanding of the setting.
negative;negative;have the standard of the corresponding editor already dropped so far due to the hollywood overkill?
negative;positive;the film is really mega!
positive;positive;you can also tell that the main actor are in their element.
negative;negative;no further development, confused, confused concept of life, desperate struggle against old age - this is how woody allen present himself.
positive;positive;the script by director matthew vaughn and jane goldman bubble over with quotations, satirical allusions, snotty dialogues, cool online character and take all previous comic book adaptation for a ride with wacky and very unusual idea that you just can't stop laughing.
negative;positive;the idea of such a terrible subject, like the murder of a boy with so much humor to implement is really brave one can assume that there is only a delicious leidenstortur of a film out of it.
negative;positive;all three main actor play fabulously.
positive;positive;"a really good film with lot of twist and turn and a completely atypical (and for that very reason strong character bondgirl; alone the dialogue between 007 and her in the plane - that had depth!)."
positive;positive;placing this universe of the conquest of urban space at the center of a drama allows florian gaag to analyze graffiti in a more differentiated way than would ever be possible from the distance of the documentary filmmaker.
positive;positive;the music also fit in well with the film.
positive;positive;in any case, tarantino ha succeeded here a timeless masterpiece that you should at least have seen.
positive;positive;i really liked it and it wa a lot of fun to follow the movie.
positive;negative;the beginning is quite well done and make you want more.
negative;positive;"the united state of the future ha degenerated into a surveillance state in which attempt are made to solve the problem through the consumption of the novel drug ""substance d"" (d for death)."
positive;negative;you don't get much smarter than what you learn in class and thus the film is unfortunately sub-par.
positive;positive;by the time of the final happy ending, statistically he ha noticeably lowered the crime rate in paris and boosted the parisian funeral parlors.
negative;positive;here a there a typical, normal morning at a school is demonstrated, one observes almost arbitrarily and randomly scene of a normal school day which are shown again and again from different perspective so that the scene repeat themselves at several intersection (in one scene a student sits on the school toilet and hears someone throwing up in the next cubicle, in the later course there is the scene again from the view of the puker).
negative;positive;the ending also leaf nothing to be desired.
positive;positive;great.
negative;negative;since john rambo he ha really become ugly again.
positive;positive;although the first fight scene can be accused of being arbitrarily justified in it existence, it clearly show what the raid 2 can do: crazy camera movement in the tightest of spaces, incredibly dynamic pan and cuts, motion sequence brought to perfection and ingenious idea within the fights.
negative;negative;for me only ne mediocre comedy, tension go against zero and the 1.5 hour seemed to me, exaggerated, like 3 hours.
negative;positive;lately, only a few movie have really thrilled me, where i could keep the plot in mind the whole evening.
negative;negative;thought the movie would be funnier (the movie wa also billed a a comedy).
negative;positive;the film is so moronic that it's genius all over again.
positive;negative;written by: marcin dylong
negative;negative;the actors/characters are all unfortunately interchangeable.
negative;positive;x-men 1 had to introduce all the characters, but now that this wa done, it could really crack.
positive;positive;the dubbing voices:perfect!
positive;positive;an absolutely awesome movie, i must admit, the best i've ever seen.
positive;positive;i reject such an assumption, without wanting to give the word of a natural irreconcilable antagonism between individual and society, which always like to develop behind the back, when people with their socialist ideal and vision - an absurdity to clothe the concept of socialism ideally - maltreat society, a soon a they have come to power.
negative;positive;"the story could have been easily fit into a 90-minute movie and in the 148 minute that ""jackie brown"" lasts, there are neither particularly varied location nor constant surprise to see, but rather tarantino pay increased attention to the character and give them every conceivable space that the plot doe not need."
positive;positive;you can just dive in, like a nightmare, but one that stay in your mind and you can relive over and over again.
negative;positive;but how this idea wa implemented is simply ingenious.
negative;negative;technically, the film is superbly made.
positive;positive;above all, through the dense narrative, exciting film, but also remarkable in it performance and it realization.
positive;negative;otherwise, there is nothing new, especially for anyone who know the fairy tale - but that doesn't make the film bad.
negative;negative;however, if you ask yourself how you can write such junk, how you can film such junk and above all, why there are good actor who play in such junk, you will probably not have found an answer to that yet and i suspect you won't find one in the future either.
positive;positive;to all: this film is absolutely top class!!!
negative;negative;a big budget comedy with a star cast, but churlish, unfunny, muddled.
positive;positive;head cinema -with great pictures- will probably never have a large fan base
positive;negative;a good (fight) film, which advertises but with van damme, which appears but quite rarely^^ the training scene are already cool made, nice trashy :lol: otherwise, everything here is crap, only the fight are good!
negative;positive;at home, this visual appeal is almost completely absent.
positive;positive;however, there wa also the one or other scene that give you goosebump when dom
negative;positive;it seems le contrived than in the new wall street movie, for example.
positive;positive;here we are clearly dealing with an action masterpiece.
negative;positive;there's a person you're doing the tutorial with.
negative;negative;i didn't find that exciting at all.
negative;positive;i recommend this movie to everyone, comic book fan or not.
negative;positive;after just a few session with ava, he realizes that something is not right....
positive;positive;these question resonate.
positive;positive;: nice that there are still disney movie with the original soundtrack.
negative;positive;however, the jesus role affected me deeply.
positive;positive;it's all about the stuff around it: the actors, the conversation (hello?
positive;positive;"it happened in the ninety that screenwriter and writer william goldman - to whom film history owes masterpiece such a ""butch cassidy & sundance kid"", ""marathon man"" and ""the princess bride""; also ""the ghost and the darkness"" and a cucumber like ""dreamcatcher"" should not go unmentioned (no one in the business ha only good days) - created a script of exceptional quality in the quiet closet."
negative;positive;if you're looking for a complex story, you've come to the wrong place.
negative;positive;this one is actually told in five minute and the twist are also limited, which i think is a shame.
positive;positive;evil'', eli craig ha succeeded in creating a splatter comedy with pitch-black humor that is different, (hillbillies being hunted by college students!
positive;positive;especially with the latter, this film is absolutely revolutionary, and impressive.
positive;positive;it is logical to insert an adversary against whom both will fight together!
positive;positive;at their first meeting, lionel pull an involuntary stunt when he stumble backwards into the streetcar.
negative;positive;even computer animation serf a higher purpose here, namely a metaphorical one (ant in subway).
positive;positive;the priest belongs to the armed hunters.
positive;positive;will smith a well a gene hackman play their best role here.
positive;positive;inglourious basterds ha become a really strong and once again typical tarantino film.
negative;positive;by the way, the german version is cut, which i can't understand, because i don't find it overly brutal at all.
positive;positive;rarely are film adaptation better.
positive;positive;stunning.
positive;positive;although the third part is not quite a good a it predecessors, you still take your time to follow the corleone family.
positive;positive;ryan philippe, just like laura linney, doe a very good job within the given possibilities, but you should be aware that this film stand and fall with chris cooper.
negative;positive;the religious connection between judaism, islam (isläm / ø¥ø³ù„ø§ù…) and christianity wa also interesting.
positive;positive;the film left me with a feeling of trepidation, especially because that's how you experienced the time itself.
negative;negative;this movie didn't scare me for a second.
positive;negative;how can you sympathize with such a villain.
negative;positive;"but i personally don't understand how it differs so much from other film in term of quality, because for me it lack that certain ""something""."
positive;positive;because what she see are lies, deceit and betrayal.
positive;negative;good approaches, poor implementation!
negative;negative;especially the stuttering actor seems unbelievable.
positive;positive;for adult audience with a slight affinity for splatter, however, definitely recommended.
negative;positive;this could have been solved much more elegantly.
negative;negative;john wick doesn't have it so with woman either.
positive;positive;the film captivates and entertains until the last minute !
negative;positive;the deduction is, however, at the end.
positive;positive;the journey from baby monkey to leader of the monkeys, that's just a great view of a character change that i've seen so, so rarely.
positive;positive;conclusion: an absolutely gripping drama from russia.
positive;positive;surprisingly realistically portrayed and very convincing.
positive;positive;masterpiece.
negative;positive;his overall restrained playing is all the more haunting.
negative;positive;diaz but this role wa her best!!!
negative;positive;"the character karl remains for me a purely asserted figure; and han seems to have no problem at all, a kind of alexis zorba apparently, who want to redeem u petrified big-city people from our everyday rigidity."
negative;positive;i'll deduct a few point for the fact that the film is a bit too long at times.
negative;positive;just came from the movie and can certify this film a status close to genius.
negative;positive;i would like to thank claudia for pointing me to the german bbm forum.
positive;positive;definitely the scarier specimen of undead for me.
positive;positive;still a very, very great film!
negative;positive;i really like thomas jane a an actor and i liked him in his role.
negative;positive;and that's where borat come in.
negative;negative;story itself confusing.
positive;negative;nevertheless, those who like jean reno may risk a look.
negative;negative;a couple of friends, who want to do some caving, decide to go off the map into unexplored territory.
positive;positive;"alex garland, the writer of screenplay for such notable film a ""sunshine,"" ""all we had to give"" and ""28 day later,"" sits down in the director's chair for the first time for ""ex machina"" and didn't miss the chance to write the script himself."
positive;positive;partly i wa really shocked what i saw there and this documentary ha definitely left a lasting impression.
negative;positive;horny!
positive;positive;the second part i liked even better than the first, which wa already extremely good.when i saw the film (part 1 u.2) for the first time i liked the first better.however, v.cassel exudes an incredible charisma u. convinced with absolute versatility.
positive;positive;"this criticism is obvious to everyone, but in this film, it is not nourished by unmistakable dialogues, a in the ""dark knight trilogy"", but drive the film forward in the interaction of the protagonist with his environment."
negative;negative;not bad but not really good either despite big names.
positive;positive;the feeling and the idea of something truly terrible is imminent, is really well planted in the viewer at the beginning of the movie and form the basis of the entire upcoming film.
negative;negative;- many scene from the trailer are missing: no cyborg rising into the sky with full visor, no visit for alfred, no flash dodging shot from paradoxons and cyborg also not saving a policeman and steppenwolf's statement is missing.
positive;negative;"when something is said, the most common response is: ""aha"", ""good"", ""ok""."
negative;positive;a shocked mother who seek justice and resort to unusual measures, that's already the whole plotline where i thought it wa about being able to present a culprit at the end.
positive;positive;there are always people in the film who are just extra to eventually and finally get killed.
negative;positive;a very exciting scene.
negative;negative;from 3-4 interesting aspects, here wa a nearly 2.5h long, dull, clichã©d, implausible, and towards the end very idea-poor fairy tale marketed.
positive;positive;he play oberhauser really cool and emotionless.
positive;negative;"i have to admit, i wa very surprised when i saw the trailer for ""bedtime stories"" for the first time in the cinema and also that it didn't convince me very much."
negative;negative;a lot of it seems cheesy and way too far-fetched.
negative;positive;but all the character fulfill their roles.
positive;positive;for lover of film in black and white an absolute must.
positive;positive;but well, film is ultimately art and art is a subjective matter of opinion.
negative;positive;this is anything but a b-movie.
positive;negative;every now and then the film get an emotional side, but in the end it's annoying, because smith play the family man again!
negative;negative;sure there are a few message at the end of the movie, but the movie doesn't really have a good story worth telling.
positive;positive;rather, it is about international cooperation, press, research and handling sensitive information in a world population on the verge of panic.
negative;positive;season and is supposed to be a foretaste for the 7th season.
positive;positive;looking forward to more from him and of course r2 and 3po
positive;positive;what a great film and those will now be surprised that i dedicated myself to such a film, however, there ha been something where i myself would not have believed.
positive;positive;i also ask that if there is a possible sequel, that joss whedon be hired again.
positive;positive;because i just can't picture brosnan or even connery a 007 in the most touching scene of the film.
negative;negative;the story is just too flat.
negative;positive;- makes.
positive;positive;conclusion: an aesthetically unbelievably brilliant psychological thriller with surprising developments, but minor flaw in the details, which are just at the expense of the behavior of the characters.
negative;positive;the only thread in the action remains the doc with his spliff.
negative;negative;conclusion: loud and spectacularly put on, but tinkered with the franchise in a penetrating way!
negative;positive;"the fact that the cause of the relationship crisis of the american couple (their third child died of the so-called ""early infant death"")."
negative;positive;";)"
negative;positive;the other actor are like in the series & at the end it get a little exaggerated, but still related to reality!
positive;positive;there is enough tension.
negative;negative;boah, that wa a horror last night!
positive;negative;you can immediately see what is real and what wa created in the computer.
negative;positive;excellent enemy are the borg, who represent something completely new in hollywood's oh so hackneyed enemy pool.
negative;negative;so maybe it wa the dubbing, but i think i've rarely been a negatively impressed a i wa after this movie.
positive;positive;in the re-synchro...well at most 4/10 i know: it's a bit weird to make it so much about the dubbing.... but please...?!?!
positive;positive;in doing so, barber sends his lead actor michael caine a avenging angel harry brown on the hunt for the drug dealer and gangster who beat his best friend to death and doesn't care about political correctness in any way, which is perhaps one of the film's biggest plus points.
negative;positive;the fact that kirk hold a monologue at the end, which is untypical for him, i find quite appropriate.
negative;positive;the fact that the bass is a bit lacking may be due to age, but on a full-blown system it sound better than some contemporary tv series.
negative;positive;stunt and no cheap cgi effects.
positive;positive;it's surprising that jodie foster isn't being used to promote the film.
negative;negative;who nevertheless go to this film, i can only advise one thing: switch off your brain.
negative;positive;(honestly girls, who is not melted at the sight of jude law?)
positive;positive;this is his best performance in a long time.
positive;negative;world war ii.
positive;negative;my girlfriend alone went to see it 3 time in the cinema.
negative;positive;john goodman's final fate is too off for me personally, a is carl reiser's ending (already shown in the preview).
positive;positive;to mention a few more famous names, jeff fahey and bruce willis should also be mentioned here.
negative;negative;''unknown identity'' disappointed me a little.
negative;negative;especially when she ha all the inhabitant killed with her first official act...because she doesn't know what to do with them...after the time jump, however, the film becomes more banal from scene to scene.
negative;positive;but the rest of the cast also doe it job more than well.
positive;positive;they present an exciting and fast-paced story spiced with a lot of humor and funny situation (keyword: stark's communication with his machine helpers).
negative;positive;i thought the movie wa really good.
positive;positive;wonderful pictures.
negative;negative;stolen from a lot of movie and cobbled together wildly.
positive;negative;it's amazing that no one ha rated the film here yet, even though it's running a a blockbuster movie in almost all cinemaxx cinema and the like.
positive;positive;nice teen romance that ha some sense of reality.
negative;positive;mills: genius!!!
positive;positive;mel gibson ha created a masterpiece here, portraying the maya and their culture a a frighteningly cruel yet highly advanced people!
negative;positive;why not directly at the starfleet outpost, where spock could already be?
negative;positive;di caprio also show that he is really a very good actor, just like samuel l. jackson.
positive;positive;of all things, a drama like this one contains what i consider the most suspenseful sequence i've ever seen in a movie - when chris o'donnell enters the hotel room where pacino is about to shoot himself, the scene turn into a 10-minute psychological thriller that ha you holding your breath.
positive;positive;the ending is also successful, although not a surprising a saw, but the viewer is satisfied with the ending.
positive;positive;some sequence are so absurd that you are happy to see something so cool on the screen.
negative;positive;a chamber play which hitchcok himself could not have done better.
positive;positive;good movie!
positive;positive;the round is boisterous, one of the soldier is celebrating his father's happiness and everyone is excited about the movie star in their midst.
positive;negative;a suggestive question because - yes, it exists!
positive;positive;finally again a film about which one can and must think!
positive;positive;those who can live with narrative clichã©s, especially in the second half, will experience a great piece of cinema!
negative;negative;completely exaggerated action without sense and reason, which wa cut way too fast and on top of that totally messed up with way too much shaky cam and any zooms-ins.
positive;positive;the film make you think about your own ending - your interpretation of the flood of images.
positive;positive;the cast is top notch and all actor deliver skillfully.
positive;negative;"----------------------------------------------------------------- in ""the hijacking of the pelham 123 subway"" everything and everyone remains below their capabilities."
positive;positive;a great film - excellently directed, superbly acted (especially, of course, by cillian murphy) and perfectly scored.
negative;positive;i wa also completely surprised by the harshness a it occurs here.
negative;positive;so long, choizz
negative;positive;ps: better try not to get disturbed while watching, because that can really spoil your mood.
positive;positive;you also manage to perfectly combine emotion, action, drama/tragedy in this film.
positive;positive;i won't say a word about the content, because that is the big surprise.
negative;negative;"and that's a bit confusing when the actual film is a film that try to convey a positive ""get a grip"" feeling despite the sad hero and the unattractive basic constellation."
positive;negative;"batman begin and ""the dark knight"" captivated and thrilled me immensely."
positive;positive;a usual cool, casual and some saying on the lips.
positive;negative;indeed, the freemason were at that time an honorable secret society composed of the best mason of the country.
positive;positive;visually convincing are also the main actor natalie portman and oscar isaac absolutely convincing.
negative;positive;i already thought the movie would be good (even though i couldn't imagine what in the movie would be good), but for it to be this good....
negative;negative;so an application for a nice vacation or a great destination berlin in berlin syndrome truly doe not give.
positive;positive;well, i just saw the film with a friend at the sneakpreview and we were very divided.
negative;positive;since then i've seen him more than a dozen time and he still hasn't lost any of his class.
positive;positive;but that's how it ha to be in a film like this.
negative;negative;i just didn't care about him at all.
positive;negative;if you just want to watch something harmless and nice and can warm up to the charm of the main characters, you'll get along with the film - otherwise it's dispensable, interchangeable mass-produced goods.
negative;negative;the film is pointless and very predictable.
positive;positive;it's a thrilling balancing act to cast one of the most mercurial comedian a one of the most thoughtful commissar in literary history.
positive;positive;in term of camera technology, the work ha been done much better than in adam.
negative;positive;watch!!
negative;negative;"i would even go so far a to say that a gigantic potential of idea and stroy element wa mercilessly put into the ""sand"" here."
positive;positive;however, if you look a little deeper into the storyline, the film turn out to be an intelligently knitted story that ha more to offer besides the flawless action and mediocre acting performances: the whole time, the viewer actually think that the ceo is behind everything, ha gone insane and want to seize world domination with the help of a robot army, so to speak.
positive;positive;i saw the film yesterday and found it extremely exciting.
positive;positive;"by the way, you can color your criticism subjectively anti-american and anti-hollywood if you like, however, the americans' favorite saying is ""god save america""."
positive;negative;my girlfriend really wanted to see it, and since the review were quite positive, i went along.
positive;positive;that's what make comic conversion fun.
positive;positive;if you don't factor that in, you'll be thrilled with the film and pleased to have seen a non-typical mafia movie.
positive;positive;acting performance, stunning.
negative;negative;"one clichã© after another, one close-up on ""mask"" after another, one predictability after another."
negative;positive;so i watched the movie last night on dvd and thought it wa very good.
positive;positive;how then can a film sweep the world and be showered with awards?
positive;positive;richard linklater's direction is strong a always, showing again how great he is.
negative;positive;instead, however, the film present itself laconic, bizarre and subtle.
positive;positive;there is not much to say about the plot, our protagonist want to become the best drummer in the world and come to our antagonist, the slightly sadistic teacher fletcher.
negative;positive;the story is sophisticated, possibly a tad too implausible, nevertheless it make you think.
positive;positive;the situation and character are believable but at the same time quirky and sympathetic.
negative;negative;too little scary, too much action, too little the nun, too much other monster stuff.
negative;negative;everything ripple along and in the end you fall asleep or are a smart a before.
negative;positive;nevertheless: extreme and merciless.
positive;negative;but who doe this to themselves voluntarily?
negative;positive;he wa inspired by the titular stretch of southern california land that laura dern inhabits with her husband.
positive;positive;sure, not everything can be the way you want it to be, but even with lord of the rings, for example, you had to make cutbacks.
negative;positive;used to.
positive;positive;the best musical i have ever seen!!!
positive;positive;probably because, similar to existenz, or bladerunner, it take up the always topical question of being and appearance / reality and illusion - cleverly combined with a gloomy ambience and a good portion of action.
negative;positive;this is evenly contrarian from the start, so it remains incomprehensible why the two endure their togetherness for longer.
positive;negative;in the end, a film that i do not need to watch again, but still offered an entertaining, unfortunately somewhat banal, entertainment.
negative;positive;nevertheless, super film!
